id,description,gif
1,Graph Traversals: Depth-First Search (DFS),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/tree_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvdHJlZV9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzIwOTQ0MDQ5LCJleHAiOjE3NTI0ODAwNDl9.lsm_5VI-FyOwPitClNP-DHHVNNCvBGHbnOOP5u-SNQg&t=2024-07-14T08%3A00%3A49.666Z
2,Graph Traversal: Breath-first-search (BFS),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/bfs_traversal.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYmZzX3RyYXZlcnNhbC5naWYiLCJpYXQiOjE3MjA5NjI3MzAsImV4cCI6MTc1MjQ5ODczMH0.tEPB9Us-hAE5_h_xHgsuR7wxsYGHiBP-fi7z0UDDNeg&t=2024-07-14T13%3A12%3A11.163Z
3,Tree post order traversal,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/postorder_traversal.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcG9zdG9yZGVyX3RyYXZlcnNhbC5naWYiLCJpYXQiOjE3MjA5NjM1MTYsImV4cCI6MTc1MjQ5OTUxNn0.DBtjkdOW37HHxBsSlZC6KjQ2pzzL45UewVBHrKiPvOw&t=2024-07-14T13%3A25%3A16.414Z
4,Tree preorder traversal,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/preorder_traversal.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcHJlb3JkZXJfdHJhdmVyc2FsLmdpZiIsImlhdCI6MTcyMDk2MzU1MiwiZXhwIjoxNzUyNDk5NTUyfQ.X9Q4HTnVsjbWTS3HSnf0Yx31COqI5wf-_oTAAKnTyz0&t=2024-07-14T13%3A25%3A52.100Z
5,Tree In-order traversal,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/inorder_traversal.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvaW5vcmRlcl90cmF2ZXJzYWwuZ2lmIiwiaWF0IjoxNzIwOTYzNTg1LCJleHAiOjE3NTI0OTk1ODV9.iD1yQkXCpFoEqWd9Yw8JsbB8fMbd6516KQvzRFAaUsQ&t=2024-07-14T13%3A26%3A25.170Z
6,Binary search tree Insertion,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/bst_insertion.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYnN0X2luc2VydGlvbi5naWYiLCJpYXQiOjE3MjA5NjUyOTIsImV4cCI6MTc1MjUwMTI5Mn0.5QyGhtG4ZR7KRvO0kh062EWZ4ormj0HugIPjvUBUbS0&t=2024-07-14T13%3A54%3A52.840Z
7,Binary Search,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/binary_search.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYmluYXJ5X3NlYXJjaC5naWYiLCJpYXQiOjE3MjA5ODg3NjksImV4cCI6MTc1MjUyNDc2OX0.5VDhjVw0_1gXH8vk3q8TaFz01LBmwq4YMo1hVji7aIE&t=2024-07-14T20%3A26%3A09.625Z
8,MST Kruskal algo,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/Kruskal_mst.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvS3J1c2thbF9tc3QuZ2lmIiwiaWF0IjoxNzIwOTg4ODE0LCJleHAiOjE3NTI1MjQ4MTR9.BeYAtt36sWF3hrvvs7DmbOwXyD2lT_UmH-AU6AVlaus&t=2024-07-14T20%3A26%3A54.738Z
9,Linear Search,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/linear_search.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbGluZWFyX3NlYXJjaC5naWYiLCJpYXQiOjE3MjA5ODk1NjksImV4cCI6MTc1MjUyNTU2OX0._qAPdPV70FQ_cPH9ueZE2mDEL3g-GLdoAEUkdFE5rIM&t=2024-07-14T20%3A39%3A29.833Z
10,Shortest Path - Dijkstra Algo,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/dijkstra_animation_kamada_kawai.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZGlqa3N0cmFfYW5pbWF0aW9uX2thbWFkYV9rYXdhaS5naWYiLCJpYXQiOjE3MjA5OTE5MTksImV4cCI6MTc1MjUyNzkxOX0.JDrIdgAD6CTdiVBy2lRhp3bqv6yeJaa681n5Ao9Qw3g&t=2024-07-14T21%3A18%3A39.406Z
